0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.50,0.75,0.00,98.75,
0.00,0.00,0.25,0.00,0.00,99.75,
0.25,0.00,0.00,0.00,0.00,99.75,
0.00,0.00,0.50,0.00,0.00,99.50,
0.00,0.00,0.00,0.25,0.00,99.75,
0.50,0.00,0.00,0.00,0.00,99.50,
0.00,0.00,0.25,0.00,0.00,99.75,
0.00,0.00,0.25,0.00,0.00,99.75,
0.25,0.00,0.00,0.25,0.00,99.50,
0.00,0.00,0.00,0.00,0.00,100.00,
0.76,0.00,0.50,1.01,0.00,97.73,
1.53,0.00,1.02,0.77,0.00,96.68,
0.00,0.00,0.25,0.00,0.00,99.75,
0.25,0.00,0.00,0.00,0.00,99.75,
0.00,0.00,0.25,0.00,0.00,99.75,
0.25,0.00,0.25,0.75,0.00,98.75,
0.00,0.00,0.00,0.25,0.00,99.75,
0.50,0.00,0.25,0.00,0.00,99.25,
0.00,0.00,0.00,0.00,0.00,100.00,
0.25,0.00,0.25,0.00,0.00,99.50,
0.00,0.00,0.25,1.00,0.00,98.75,
0.00,0.00,0.50,0.00,0.00,99.50,
0.25,0.00,0.00,0.00,0.00,99.75,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.25,1.00,0.00,98.75,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.00,0.00,0.00,100.00,
0.25,0.00,0.00,0.25,0.00,99.50,
0.25,0.00,0.25,0.50,0.00,99.00,
0.00,0.00,0.00,0.00,0.00,100.00,
0.25,0.00,0.00,0.00,0.00,99.75,
0.00,0.00,0.00,0.25,0.00,99.75,
0.00,0.00,0.00,0.00,0.00,100.00,
0.25,0.00,0.00,0.50,0.00,99.25,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.25,0.00,0.00,99.75,
0.00,0.00,0.25,0.00,0.00,99.75,
0.00,0.00,0.00,0.25,0.00,99.75,
0.00,0.00,0.00,0.25,0.00,99.75,
0.00,0.00,0.25,0.00,0.00,99.75,
0.00,0.00,0.00,0.00,0.00,100.00,
0.25,0.00,0.25,0.00,0.00,99.50,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.00,1.25,0.00,98.75,
0.00,0.00,0.00,0.00,0.00,100.00,
0.25,0.00,0.25,0.00,0.00,99.50,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.25,0.00,0.00,99.75,
0.25,0.00,0.00,0.25,0.00,99.50,
0.00,0.00,0.25,0.00,0.00,99.75,
0.25,0.00,0.25,0.00,0.00,99.50,
0.00,0.00,0.00,0.25,0.00,99.75,
0.25,0.00,0.00,0.00,0.00,99.75,
0.00,0.00,0.25,1.75,0.00,98.00,
0.00,0.00,0.25,0.00,0.00,99.75,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.25,0.00,0.00,99.75,
0.00,0.00,0.00,0.00,0.00,100.00,
0.25,0.00,0.00,1.00,0.00,98.75,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.00,0.25,0.00,99.75,
0.00,0.00,0.25,0.50,0.00,99.25,
0.25,0.00,0.00,0.25,0.00,99.50,
0.00,0.00,0.00,0.00,0.00,100.00,
0.25,0.00,0.00,0.00,0.00,99.75,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.00,1.25,0.00,98.75,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.25,0.00,0.00,99.75,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.25,1.50,0.00,98.25,
0.25,0.00,0.00,0.00,0.00,99.75,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.25,0.00,0.00,99.75,
0.00,0.00,0.25,0.00,0.00,99.75,
0.00,0.00,0.00,1.25,0.00,98.75,
0.25,0.00,0.25,0.00,0.00,99.50,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.00,0.00,0.00,100.00,
0.25,0.00,0.25,0.00,0.00,99.50,
0.00,0.00,0.00,1.01,0.00,98.99,
0.25,0.00,0.25,0.00,0.00,99.50,
0.25,0.00,0.25,0.00,0.00,99.50,
0.25,0.00,0.00,0.25,0.00,99.50,
0.50,0.00,0.00,0.00,0.00,99.50,
0.00,0.00,0.25,0.75,0.00,99.00,
0.25,0.00,0.00,0.00,0.00,99.75,
0.00,0.00,0.25,0.25,0.00,99.50,
0.25,0.00,0.50,0.00,0.00,99.25,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.00,1.00,0.00,99.00,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.00,0.00,0.00,100.00,
0.00,0.00,0.25,0.25,0.00,99.50,
0.25,0.00,0.00,0.00,0.00,99.75,
0.25,0.00,0.00,1.00,0.00,98.75,
0.50,0.00,0.25,0.50,0.00,98.75,
0.00,0.00,0.00,0.00,0.00,100.00,
